,suburb
588, DANGAR ISLAND NSW 2083
589, MILSONS PASSAGE NSW 2083
590, MOONEY MOONEY NSW 2083
591, COTTAGE POINT NSW 2084
592, DUFFYS FOREST NSW 2084
593, TERREY HILLS NSW 2084
594, BELROSE NSW 2085
595, BELROSE WEST NSW 2085
596, DAVIDSON NSW 2085
597, FRENCHS FOREST NSW 2086
598, FRENCHS FOREST EAST NSW 2086
599, FORESTVILLE NSW 2087
600, KILLARNEY HEIGHTS NSW 2087
601, MOSMAN NSW 2088
602, SPIT JUNCTION NSW 2088
603, NEUTRAL BAY NSW 2089
604, NEUTRAL BAY JUNCTION NSW 2089
605, CREMORNE NSW 2090
606, CREMORNE JUNCTION NSW 2090
607, CREMORNE POINT NSW 2090
608, SEAFORTH NSW 2092
609, BALGOWLAH NSW 2093
610, BALGOWLAH HEIGHTS NSW 2093
611, CLONTARF NSW 2093
612, MANLY VALE NSW 2093
613, NORTH BALGOWLAH NSW 2093
614, FAIRLIGHT NSW 2094
615, MANLY NSW 2095
616, MANLY EAST NSW 2095
617, CURL CURL NSW 2096
618, HARBORD NSW 2096
619, QUEENSCLIFF NSW 2096
620, COLLAROY NSW 2097
621, COLLAROY BEACH NSW 2097
622, COLLAROY PLATEAU WEST NSW 2097
623, WHEELER HEIGHTS NSW 2097
624, CROMER NSW 2099
625, DEE WHY NSW 2099
626, NARRAWEENA NSW 2099
627, NORTH CURL CURL NSW 2099
628, ALLAMBIE HEIGHTS NSW 2100
629, BEACON HILL NSW 2100
630, BROOKVALE NSW 2100
631, NORTH MANLY NSW 2100
632, OXFORD FALLS NSW 2100
633, WARRINGAH MALL NSW 2100
634, ELANORA HEIGHTS NSW 2101
635, INGLESIDE NSW 2101
636, NARRABEEN NSW 2101
637, NORTH NARRABEEN NSW 2101
638, WARRIEWOOD NSW 2102
639, MONA VALE NSW 2103
640, BAYVIEW NSW 2104
641, CHURCH POINT NSW 2105
642, ELVINA BAY NSW 2105
643, LOVETT BAY NSW 2105
644, SCOTLAND ISLAND NSW 2105
645, NEWPORT NSW 2106
646, NEWPORT BEACH NSW 2106
647, AVALON BEACH NSW 2107
648, BILGOLA NSW 2107
649, CAREEL BAY NSW 2107
650, CLAREVILLE NSW 2107
651, PARADISE BEACH NSW 2107
652, TAYLORS POINT NSW 2107
653, WHALE BEACH NSW 2107
654, COASTERS RETREAT NSW 2108
655, CURRAWONG BEACH NSW 2108
656, GREAT MACKEREL BEACH NSW 2108
657, MORNING BAY NSW 2108
658, PALM BEACH NSW 2108
659, THE BASIN NSW 2108
660, MACQUARIE UNIVERSITY NSW 2109
661, HUNTERS HILL NSW 2110
662, WOOLWICH NSW 2110
663, BORONIA PARK NSW 2111
664, GLADESVILLE NSW 2111
665, HENLEY NSW 2111
666, HUNTLEYS COVE NSW 2111
667, HUNTLEYS POINT NSW 2111
668, MONASH PARK NSW 2111
669, TENNYSON POINT NSW 2111
670, DENISTONE EAST NSW 2112
671, PUTNEY NSW 2112
672, RYDE NSW 2112
673, BLENHEIM ROAD NSW 2113
674, EAST RYDE NSW 2113
675, MACQUARIE CENTRE NSW 2113
676, MACQUARIE PARK NSW 2113
677, NORTH RYDE NSW 2113
678, DENISTONE NSW 2114
679, DENISTONE WEST NSW 2114
680, MEADOWBANK NSW 2114
681, MELROSE PARK NSW 2114
682, WEST RYDE NSW 2114
683, ERMINGTON NSW 2115
684, RYDALMERE NSW 2116
685, DUNDAS NSW 2117
686, DUNDAS VALLEY NSW 2117
687, OATLANDS NSW 2117
688, TELOPEA NSW 2117
689, CARLINGFORD NSW 2118
690, CARLINGFORD COURT NSW 2118
691, CARLINGFORD NORTH NSW 2118
692, KINGSDENE NSW 2118
693, BEECROFT NSW 2119
694, CHELTENHAM NSW 2119
695, PENNANT HILLS NSW 2120
696, THORNLEIGH NSW 2120
697, WESTLEIGH NSW 2120
698, EPPING NSW 2121
699, NORTH EPPING NSW 2121
700, EASTWOOD NSW 2122
701, MARSFIELD NSW 2122
702, PARRAMATTA NSW 2123
703, PARRAMATTA NSW 2124
704, WEST PENNANT HILLS NSW 2125
705, CHERRYBROOK NSW 2126
706, HOMEBUSH BAY NSW 2127
707, NEWINGTON NSW 2127
708, SILVERWATER NSW 2128
709, SYDNEY MARKETS NSW 2129
710, SUMMER HILL NSW 2130
711, ASHFIELD NSW 2131
712, CROYDON NSW 2132
713, CROYDON PARK NSW 2133
714, ENFIELD SOUTH NSW 2133
715, BURWOOD NSW 2134
716, BURWOOD NORTH NSW 2134
717, STRATHFIELD NSW 2135
718, BURWOOD HEIGHTS NSW 2136
719, ENFIELD NSW 2136
720, STRATHFIELD SOUTH NSW 2136
721, BREAKFAST POINT NSW 2137
722, CABARITA NSW 2137
723, CONCORD NSW 2137
724, MORTLAKE NSW 2137
725, NORTH STRATHFIELD NSW 2137
726, CONCORD WEST NSW 2138
727, LIBERTY GROVE NSW 2138
728, RHODES NSW 2138
729, CONCORD REPATRIATION HOSPITAL NSW 2139
730, HOMEBUSH NSW 2140
731, HOMEBUSH SOUTH NSW 2140
732, HOMEBUSH WEST NSW 2140
733, BERALA NSW 2141
734, LIDCOMBE NSW 2141
735, LIDCOMBE NORTH NSW 2141
736, ROOKWOOD NSW 2141
737, BLAXCELL NSW 2142
738, CAMELLIA NSW 2142
739, CLYDE NSW 2142
740, GRANVILLE NSW 2142
741, HOLROYD NSW 2142
742, ROSEHILL NSW 2142
743, SOUTH GRANVILLE NSW 2142
744, BIRRONG NSW 2143
745, POTTS HILL NSW 2143
