,0,1,2,3,4,5,6,7,8
126/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Dec 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
605/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Dec 2009",Rent $850pw in Nov 2013,Unit: 2,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,
1002/507 Wattle Street BROADWAY NSW 2007,"Sold $616,400 in Jun 2010",Rent $900pw in Jan 2017,Apartment: 2 2 1,"Land size: 1,538 sqm",Distance: 89 metres,JUST REFURBISHED LEVEL 10 SUN DRENCHED APARTMENT IN SUPERB LOCATION POLISHED TIMBER FLOORS WITH LARGE NORTH FACING BALCONY. INSPECT TUE 14th JAN 5.15-5.30PM This apartment speaks for itself. It is...more,Street view | Nearby,,
153/507 Wattle Street BROADWAY NSW 2007,"Sold $616,400 in Jun 2010",Unit: 2 2 1,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
702/507 Wattle Street BROADWAY NSW 2007,"Sold $602,600 in Jul 2010",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
135/507 Wattle Street BROADWAY NSW 2007,"Sold $602,600 in Jul 2010",Unit: 2 2 1,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
1302/507 Wattle Street BROADWAY NSW 2007,"Sold $759,000 in Aug 2011",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
809/503-507 Wattle Street BROADWAY NSW 2007,"Sold $1,100,000 in Mar 2015",Apartment: 2 3 1,Building size: 221 sqm,Agent: VIP Real Estate,Distance: 89 metres,!LOCATION! LOCATION! LOCATION!. LARGE 3 BED 2 BATH APARTMENT WITH PARKING! !ULTIMO! 3 min from CBD | Panoramic Views | Close to transport| Undercover Parking + Storage | Onsite Building Manager |...more,Street view | Nearby,,
1003/507 Wattle Street BROADWAY NSW 2007,"Sold $990,000 in Aug 2014","Last Sold $694,600 in Feb 2009",Unit: 3 2 1,"Land size: 1,542 sqm",Distance: 89 metres,Floorplan | Street view | Nearby,,,
602/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Dec 2009","Rent $1,080pw in Sep 2019",Unit: 1 1,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,
131/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Sep 2009",Unit: 2 2 1,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
150/507 Wattle Street BROADWAY NSW 2007,"Sold $611,800 in Sep 2009",Unit: 2 2 1,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
804/507a Wattle Street BROADWAY NSW 2007,"Sold $895,000 in Sep 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
503/507 Wattle Street BROADWAY NSW 2007,"Sold $655,000 in Sep 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
609/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Nov 2009",Unit: 2,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
603/507 Wattle Street BROADWAY NSW 2007,"Sold $584,200 in Nov 2009",Rent $790pw in Jun 2012,Unit: 2,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,
130/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Nov 2009",Unit: 2 2 1,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
161/507 Wattle Street BROADWAY NSW 2007,"Sold $584,200 in Nov 2009",Unit: 2 2 1,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
125/507 Wattle Street BROADWAY NSW 2007,"Sold $446,200 in Sep 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
902/507 Wattle Street BROADWAY NSW 2007,"Sold $611,800 in Sep 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
808/507a Wattle Street BROADWAY NSW 2007,"Sold $795,000 in Jun 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
413/507 Wattle Street BROADWAY NSW 2007,"Sold $485,000 in Jun 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
205/507a Wattle Street BROADWAY NSW 2007,"Sold $635,000 in Jul 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
611/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Aug 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
151/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Aug 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
606/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Sep 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
610/507 Wattle Street BROADWAY NSW 2007,"Sold $593,400 in Sep 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
